taskID,trialIndex,trialStart,trialEnd,RT,choice,correct,initDirection,endDirection,presenceCP,coherence,viewingDuration,probCP,timeCP,randSeedBase,fixationOn,fixationStart,targetOn,dotsOn,dotsOff,choiceTime,targetOff,fixationOff,feedbackOn,numFrames,tocDotsOn,tocDotsOff
2,48,1211935.40673743,1211939.19024995,0.573148504830897,1,1,180,0,1,60,0.4,0.5,0.2,646,0.128308175830171,NaN,0.772375972475857,1.63678275211714,2.05848162411712,2.63163012894802,NaN,NaN,NaN,31,1.605034439,2.026068117
2,82,1211939.19290713,1211942.49130289,0.624450599076226,0,1,180,180,0,48,0.2,0.5,0.2,2054,0.136717754648998,NaN,0.984175381716341,1.3062092801556,1.5249143501278,2.14936494920403,NaN,NaN,NaN,17,1.288858776,1.492830988
2,335,1211942.49393727,1211945.7647206,0.552436998812482,0,1,0,180,1,60,0.3,0.5,0.2,6152,0.122137087164447,NaN,0.800103188725188,1.22383200237527,1.55992001923732,2.11235701804981,NaN,NaN,NaN,26,1.196376286,1.527846316
2,225,1211945.76752634,1211948.99981163,0.597915317397565,0,1,0,180,1,48,0.4,0.5,0.2,7126,0.133821680676192,NaN,0.811787782469764,1.04907591803931,1.4888585365843,2.08677385398187,NaN,NaN,NaN,30,1.032038652,1.456675905
2,81,1211949.00251745,1211952.15310523,0.522348267724738,1,1,0,0,0,48,0.2,0.5,0.2,5361,0.135243341326714,NaN,0.813209442887455,1.25388740911148,1.4733591361437,1.99570740386844,NaN,NaN,NaN,18,1.226495874,1.44090327
2,859,1211952.15576059,1211955.17333451,0.571382148191333,1,1,0,0,0,36,0.2,0.5,0.2,2634,0.133674819022417,NaN,0.743844310520217,1.09977651410736,1.30316634452902,1.87454849272035,NaN,NaN,NaN,17,1.071542383,1.273586317
2,34,1211955.17599027,1211959.29278898,0.683023803634569,0,1,180,180,0,48,0.3,0.5,0.2,1043,0.129930093418807,NaN,0.740099584916607,1.96108121075667,2.2831151089631,2.96613891259767,NaN,NaN,NaN,24,1.939945498,2.256739977
2,402,1211959.29544113,1211963.74665266,0.43818866298534,0,1,180,180,0,24,0.4,0.5,0.2,100,0.130303637357429,NaN,2.21504939999431,2.45233753556386,2.85679928562604,3.29498794861138,NaN,NaN,NaN,30,2.420699146,2.824424521
2,890,1211963.74944904,1211967.06945379,0.446533168898895,1,0,180,180,0,0,0.5,0.5,0.2,2963,0.131605848902836,NaN,0.775673645548522,1.19940245896578,1.72220620769076,2.16873937658966,NaN,NaN,NaN,36,1.181422252,1.689947768
2,345,1211967.07226421,1211970.4206989,0.462554493453354,1,1,0,0,0,48,0.4,0.5,0.2,992,0.129965557716787,NaN,0.75708420178853,1.3164062355645,1.73552463389933,2.19807912735268,NaN,NaN,NaN,30,1.30033281,1.703189053
